Código;Formato;Descripción;Serie;Familia;ud venta;cod vta 2026;Piezas Por Caja;Piezas Por Metro;Piezas Por Palet;Cajas Por Palet;Metros Por Caja;Metros Por Palet;Kilos Por Caja;Kilos Por Pallet
187328;250250;SHAPES WHITE 25X25;SHAPES;PICCOLA;m2;M914;16;16;960;60;1;60;15,52;931,2
187346;250250;MULTISHAPES WHITE 25X25;SHAPES;PICCOLA;m2;M947;8;16;480;60;0,5;30;9,01;540,6
187347;250250;MULTISHAPES BLACK 25X25;SHAPES;PICCOLA;m2;M947;8;16;480;60;0,5;30;8,73;523,8
187525;600600;FANCY WHITE 60X60;FANCY;CEMENT&STONE;m2;M925;4;2,7778;120;30;1,4399;43,1999;32,68;980,4
187527;600600;FANCY GREY 60X60;FANCY;CEMENT&STONE;m2;M925;4;2,7778;120;30;1,4399;43,1999;32,68;980,4
187529;6001200;FANCY WHITE 60X120;FANCY;CEMENT&STONE;m2;M935;2;1,3889;64;32;1,4399;46,0799;32;1024
187531;6001200;FANCY GREY 60X120;FANCY;CEMENT&STONE;m2;M935;2;1,3889;64;32;1,4399;46,0799;32;1024
187546;250250;STRIPES MIX TEAK 25X25;STRIPES;PICCOLA;m2;M960;14;16;840;60;0,875;52,5;13,72;823,2
187547;250250;STRIPES MIX BAMBOO 25X25;STRIPES;PICCOLA;m2;M960;14;16;840;60;0,875;52,5;13,72;823,2
187558;250250;STRIPES MIX GLACIER 25X25;STRIPES;PICCOLA;m2;M963;14;16;840;60;0,875;52,5;13,72;823,2
187559;250250;STRIPES MIX MERCURY 25X25;STRIPES;PICCOLA;m2;M963;14;16;840;60;0,875;52,5;13,72;823,2
187562;250250;STRIPES MIX LINEN 25X25;STRIPES;PICCOLA;m2;M960;14;16;840;60;0,875;52,5;13,72;823,2
187563;250250;STRIPES MIX DENIM 25X25;STRIPES;PICCOLA;m2;M960;14;16;840;60;0,875;52,5;13,72;823,2
187650;600600;EMPORIO NATURAL 60X60;EMPORIO;CEMENT&STONE;m2;M925;3;2,7778;120;40;1,0799;43,1999;21;840
187728;6001200;DIURNE OXIDE 60X120;OXYDE;CEMENT&STONE;m2;M938;2;1,3889;80;40;1,4399;57,5999;28,5;1140
